language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
english,modify,bertscore_recall__xlm-roberta-base,,15,5,ok,31.153966644041006,0.000271178905570112,8.080184665841891e-05,-0.018086606264114572,0.005207484090903325,-3.4731947229006606,0.0005143020715433243,0.0007219395538434242,True
english,synonyms,bleu_score,,15,5,ok,35.91142625848809,7.288343836167729e-05,0.00028072827789527184,-0.04831225656219407,0.002699693285572961,-17.895461243828173,1.279331902870029e-71,3.614112625607832e-70,True
english,synonyms,rouge_1,,15,5,ok,46.51073253808428,1.3171984670520351e-05,6.71284003810239e-05,-0.019845857962441694,0.0011476926709934306,-17.291961919791063,5.407991454860607e-67,1.2222060687984972e-65,True
english,synonyms,rouge_2,,15,5,ok,41.37224999292279,2.9596465635033592e-05,0.00014119632306227738,-0.046270678936278384,0.0017203623349467281,-26.895891636520382,2.4532012077307214e-159,1.3860586823678577e-157,True
english,synonyms,rouge_3,,15,5,ok,32.642407586047455,0.00013155247235305535,0.0003702754301572146,-0.06511879675710544,0.0036270162992886506,-17.953819719496956,4.4800426911703425e-72,1.446413783149282e-70,True
english,synonyms,rouge_4,,15,5,ok,29.394167365642353,0.0002101626637576787,0.0006622675218060409,-0.08076068315799981,0.004584350158503151,-17.61660439663475,1.8370596399622956e-69,4.613060873683098e-68,True
english,synonyms,rouge_l_score,,15,5,ok,43.33664577837424,2.8824070600161802e-05,5.043074494582271e-05,-0.027482366884233934,0.0016977653135861212,-16.187376820759777,6.191222971200764e-59,1.2720149013557935e-57,True
english,synonyms,Gemma3n E2B,,15,5,ok,-40.480772130331694,18.877659245498585,1.5186683837565753,-0.8999999999999971,1.3739599428476288,-0.6550409309129375,0.5124414014224494,0.5312465904654752,False
english,synonyms,Gemma3n E4B,,15,5,ok,-28.412130584438984,2.5666668464117866,0.8111107885815081,2.3000000000000016,0.5066228228585626,4.539866536257701,5.628984732847164e-06,1.0342687395312676e-05,True
english,synonyms,DeepSeek R1,,15,5,ok,-16.473896208759598,0.3592594910858976,0.23580187562882468,0.1,0.18954141792386636,0.5275891733603433,0.5977845090564344,0.6085554011115053,False
english,synonyms,gpt 3.5,,15,5,ok,-26.153303083715066,2.224879144253325,0.0013798263390504162,0.19999999999999984,0.47168624574533896,0.4240106676928181,0.6715580334302796,0.6805924464360682,False
english,synonyms,gpt-4.1,,15,5,ok,-13.760345402755743,0.33076923076923076,1.0366853966699136e-33,0.10000000000000007,0.18187062180825983,0.549841414769158,0.582428149980837,0.5983125540712235,False
english,synonyms,gpt-4o,,15,5,ok,-17.373939172197524,0.566645454857505,0.011135028435650566,0.29999999999999993,0.23804315887197955,1.260275663546126,0.20756993600307105,0.22234298153425133,False
english,synonyms,gpt-5,,15,5,ok,-8.784804428848524,0.15384615384615383,2.0413513410192568e-34,4.4408920985006264e-17,0.12403473458920845,3.580361673049448e-16,0.9999999999999997,1.0,False
english,synonyms,gpt-5 mini,,15,5,ok,-3.091979419512098,0.06296060609527832,0.0012372253817389644,0.10000000000000002,0.07934771962399313,1.2602756635461274,0.2075699360030706,0.22234298153425133,False
english,synonyms,gpt-5 nano,,15,5,ok,-17.828693855940347,0.3592592023408144,0.5802471820848266,0.1,0.18954134175446113,0.5275893853782238,0.5977843618694125,0.6085554011115053,False
english,synonyms,bleurt_score,,15,5,ok,11.54387368435232,0.001875119598475797,0.03939511661408313,-0.026855161786079402,0.01369350064255228,-1.9611611732523329,0.049860224529671954,0.057491891549519704,False
english,synonyms,bertscore_f1__roberta-large,,15,5,ok,34.839418718689714,9.264372159216939e-05,0.0002729935393664139,-0.017001032829284623,0.0030437431164960257,-5.585567565523173,2.3293820128608558e-08,5.3175791404702365e-08,True
english,synonyms,bertscore_f1__xlm-roberta-base,,15,5,ok,50.48224120032685,8.73008687323249e-06,2.186094748582996e-05,-0.004472512006759688,0.0009343493390179334,-4.786766383824503,1.6948992955421326e-06,3.273908040961726e-06,True
english,synonyms,bertscore_precision__roberta-large,,15,5,ok,34.98838062418393,8.459521604181313e-05,0.0003178651900588328,-0.016960567235946654,0.0029085256753519145,-5.831328009127692,5.4987970873014615e-09,1.3220512146065217e-08,True
english,synonyms,bertscore_precision__xlm-roberta-base,,15,5,ok,49.6271195692378,9.758510470486142e-06,2.6314298795937966e-05,-0.004762744903564489,0.0009878517333327982,-4.821315530313458,1.4261456678399091e-06,2.7785251804467193e-06,True
english,synonyms,bertscore_recall__roberta-large,,15,5,ok,34.12724195869097,0.0001090117867969017,0.0002645214405624359,-0.017096441984176678,0.0033016933049104017,-5.178083003272961,2.241774938696487e-07,4.770311080534285e-07,True
english,synonyms,bertscore_recall__xlm-roberta-base,,15,5,ok,51.19251810678755,7.827469510391216e-06,1.9590799436130203e-05,-0.004180419445037842,0.0008847298746166095,-4.725080010267985,2.30024771405407e-06,4.332133194801831e-06,True
finnish,delete,bleu_score,,15,5,ok,23.03474590865207,0.0005711417456182959,0.0016661794076768715,-0.09221762078465837,0.007557392047646436,-12.202307383719399,3.02139037996604e-34,2.9688444603144565e-33,True
finnish,delete,rouge_1,,15,5,ok,26.951651499814822,0.0004117147853770763,0.00040977201671572416,-0.05662724626758618,0.0064165004899639526,-8.825253945847406,1.0921170770076586e-18,5.6095104409938826e-18,True
finnish,delete,rouge_2,,15,5,ok,26.72275724289547,0.0004385678918813913,0.0003858680090917034,-0.07213674623934,0.00662244586147287,-10.892764961508703,1.2479294325306481e-27,9.725243163859534e-27,True
finnish,delete,rouge_3,,15,5,ok,24.78866452107239,0.000557295536385391,0.0006305007403286861,-0.08675851680669489,0.007465222946338516,-11.621691331971206,3.1974285294603134e-31,3.010911865241795e-30,True
finnish,delete,rouge_4,,15,5,ok,23.98217609075195,0.0006121952902745427,0.0007848259790885,-0.09940344643606433,0.007824290960045789,-12.704467017351641,5.584862581776107e-37,5.737177015824547e-36,True
finnish,delete,rouge_l_score,,15,5,ok,26.951651499814822,0.0004117147853770763,0.00040977201671572416,-0.05662724626758618,0.0064165004899639526,-8.825253945847406,1.0921170770076586e-18,5.6095104409938826e-18,True
finnish,delete,Gemma3n E2B,,15,5,ok,-17.88976512690735,0.4148067452918269,0.3839761662145294,0.6000000000000001,0.2036680498487249,2.9459701727671668,0.003219434435768279,0.0040198463120642595,True
finnish,delete,Gemma3n E4B,,15,5,ok,-24.866913159680685,1.3037043619527606,0.8654304024986837,1.6,0.36106846469232956,4.431292556560922,9.36698996955201e-06,1.6801108993005987e-05,True
